TeamID,Key,Active,City,Name,StadiumID,League,Division,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID
1,LAD,True,Los Angeles,Dodgers,31,NL,West,005A9C,FFFFFF,EF3E42,,https://upload.wikimedia.org/wikipedia/en/a/a0/Los_Angeles_Dodgers_logo_%28low_res%29.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/LA_Dodgers.svg,10000001
2,CIN,True,Cincinnati,Reds,64,NL,Central,C6011F,000000,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/0/01/Cincinnati_Reds_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/7/71/Cincinnati_Reds_Cap_Insignia.svg,10000002
3,TOR,True,Toronto,Blue Jays,42,AL,East,134A8E,1D2D5C,E8291C,FFFFFF,https://upload.wikimedia.org/wikipedia/en/6/68/Toronto_Blue_Jays_cap.svg,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Toronto_Blue_Jays_cap.svg/119px-Toronto_Blue_Jays_cap.svg.png,10000003
4,PIT,True,Pittsburgh,Pirates,29,NL,Central,000000,FDB827,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Pittsburgh_Pirates_logo_2014.svg,https://upload.wikimedia.org/wikipedia/commons/2/24/Pittsburgh_Pirates_Cap_Insignia.svg,10000004
5,KC,True,Kansas City,Royals,33,AL,Central,004687,C09A5B,7AB2DD,FFFFFF,https://upload.wikimedia.org/wikipedia/en/1/1c/Kansas_City_Royals.svg,https://upload.wikimedia.org/wikipedia/commons/8/88/Kansas_City_Royals_Insignia.svg,10000005
9,CHC,True,Chicago,Cubs,27,NL,Central,0E3386,CC3433,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/80/Chicago_Cubs_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/89/Chicago_Cubs_Cap_Insignia.svg,10000009
10,CLE,True,Cleveland,Indians,10,AL,Central,E31937,002B5C,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Cleveland_Indians_primary_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Cleveland_Indians_cap_logo.svg/439px-Cleveland_Indians_cap_logo.svg.png,10000010
11,TB,True,Tampa Bay,Rays,18,AL,East,092C5C,8FBCE6,F5D130,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c6/Tampa_Bay_Rays.svg,https://upload.wikimedia.org/wikipedia/commons/e/e2/ALE-TB-Insignia.png,10000011
12,PHI,True,Philadelphia,Phillies,51,NL,East,E81828,003278,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/f/f0/Philadelphia_Phillies_%282019%29_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Philadelphia_Phillies_Insignia.svg/100px-Philadelphia_Phillies_Insignia.svg.png,10000012
13,SEA,True,Seattle,Mariners,65,AL,West,0C2C56,C4CED4,005C5C,004B8D,https://upload.wikimedia.org/wikipedia/en/6/6d/Seattle_Mariners_logo_%28low_res%29.svg,https://upload.wikimedia.org/wikipedia/en/8/8a/Seattle_Mariners_Insignia.svg,10000013
14,ARI,True,Arizona,Diamondbacks,54,NL,West,A71930,E3D4AD,000000,3EC1CC,https://upload.wikimedia.org/wikipedia/en/5/54/Arizona_Diamondbacks_logo_%28low_res%29.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Arizona_Diamondbacks_cap_logo.svg/114px-Arizona_Diamondbacks_cap_logo.svg.png,10000014
15,SF,True,San Francisco,Giants,13,NL,West,000000,FD5A1E,8B6F4E,E6D8AF,https://upload.wikimedia.org/wikipedia/en/5/58/San_Francisco_Giants_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/San_Francisco_Giants_Cap_Insignia.svg/97px-San_Francisco_Giants_Cap_Insignia.svg.png,10000015
16,CHW,True,Chicago,White Sox,25,AL,Central,000000,C4CED4,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/c/c1/Chicago_White_Sox.svg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Chicago_White_Sox_Insignia.svg,10000016
17,DET,True,Detroit,Tigers,62,AL,Central,0C2C56,FF6600,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Detroit_Tigers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/94/Detroit_Tigers_Insignia.svg,10000017
18,NYM,True,New York,Mets,8,NL,East,002D72,FF5910,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/7/7b/New_York_Mets.svg,https://upload.wikimedia.org/wikipedia/en/7/7b/New_York_Mets.svg,10000018
19,BAL,True,Baltimore,Orioles,22,AL,East,000000,DF4601,FFFFFF,A2AAAD,https://upload.wikimedia.org/wikipedia/en/7/75/Baltimore_Orioles_cap.svg,https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Baltimore_Orioles_cap.svg/105px-Baltimore_Orioles_cap.svg.png,10000019
20,MIN,True,Minnesota,Twins,14,AL,Central,002B5C,D31145,CFAB7A,FFFFFF,https://upload.wikimedia.org/wikipedia/en/b/b4/Minnesota_Twins_logo_%28low_res%29.svg,https://upload.wikimedia.org/wikipedia/commons/2/2f/Minnesota_Twins_Insignia.svg,10000020
21,LAA,True,Los Angeles,Angels,28,AL,West,BA0021,003263,C4CED4,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Los_Angeles_Angels_of_Anaheim.svg,https://upload.wikimedia.org/wikipedia/commons/7/79/Los_Angeles_Angels_of_Anaheim_Insignia.svg,10000021
22,MIA,True,Miami,Marlins,93,NL,East,000000,00A3E0,EF3340,41748D,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Marlins_team_logo.svg/800px-Marlins_team_logo.svg.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Marlins_cap_insignia.svg/800px-Marlins_cap_insignia.svg.png,10000022
23,COL,True,Colorado,Rockies,44,NL,West,33006F,000000,C4CED4,,https://upload.wikimedia.org/wikipedia/commons/3/31/Colorado_Rockies_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Colorado_Rockies_Cap_Insignia.svg/97px-Colorado_Rockies_Cap_Insignia.svg.png,10000023
24,OAK,True,Oakland,Athletics,23,AL,West,003831,EFB21E,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Oakland_A%27s_logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Oakland_Athletics_cap_logo.png,10000024
25,BOS,True,Boston,Red Sox,50,AL,East,BD3039,0D2B56,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/6/6d/RedSoxPrimary_HangingSocks.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/Bosb.png,10000025
26,ATL,True,Atlanta,Braves,68,NL,East,0C2340,BA0C2F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/f/f2/Atlanta_Braves.svg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Atlanta_Braves_Insignia.svg,10000026
28,TEX,True,Texas,Rangers,88,AL,West,003278,C0111F,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/41/Texas_Rangers.svg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Texas_Rangers_Insignia.svg,10000028
29,NYY,True,New York,Yankees,35,AL,East,132448,C4CED4,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/2/25/NewYorkYankees_PrimaryLogo.svg,https://upload.wikimedia.org/wikipedia/commons/7/70/NewYorkYankees_caplogo.svg,10000029
30,HOU,True,Houston,Astros,63,AL,West,002D62,EB6E1F,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Houston-Astros-Logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Houston_Astros_cap_logo.svg,10000030
31,STL,True,St. Louis,Cardinals,41,NL,Central,C41E3A,000066,FEDB00,FFFFFF,https://upload.wikimedia.org/wikipedia/en/9/9d/St._Louis_Cardinals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ee/St_Louis_Cardinals_Cap_Insignia.svg,10000031
32,MIL,True,Milwaukee,Brewers,92,NL,Central,12284B,FFC52F,003DA5,,https://upload.wikimedia.org/wikipedia/en/b/b8/Milwaukee_Brewers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Milwaukee_Brewers_cap_logo_on_navy.png,10000032
33,SD,True,San Diego,Padres,1,NL,West,2F241D,FFC245,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/a/a4/SDPadres_logo.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/San_Diego_Padres_logotype.svg/100px-San_Diego_Padres_logotype.svg.png,10000033
35,WSH,True,Washington,Nationals,53,NL,East,AB0003,11225B,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/6/6c/Washington_Nationals_logo_%28low_res%29.svg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Washington_Nationals_Cap_Insig.svg,10000035
